month_date_yyyymm,postal_code,zip_name,flag,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio_mm,pending_ratio_yy
201912,33160,"north miami beach, fl",,715050,-0.0042,0.0214,2637,0.0181,0.0273,163,-0.0412,0.0795,276,-0.1786,-0.0921,20,0.25,-0.375,328,-0.0787,-0.0238,176,0.1,0.2941,435.5820506,-0.0163,0.0259,1525,-0.0123,-0.0123,1399907,-0.0193,-0.0264,2813,0.0229,0.0667,0.005,0.0138
201912,33139,"miami beach, fl",,475050,0.044,0.044,1843,0.0302,-0.0505,142.5,-0.0563,0.1492,224,-0.0667,-0.1642,8,-0.3333,-0.3333,208,-0.0545,-0.1875,118,0.1238,0.1919,542.4997679,0.001,-0.026,841.5,0.0054,0.0102,1657563,0.0395,0.0663,1961,0.0354,0.064,0.0053,0.013
201912,34145,"marco island, fl",,725050,0.0284,0.0741,1290,0.0174,-0.0591,98,-0.1552,-0.2097,220,-0.1791,-0.1791,0,-1,-1,168,-0.1765,0.2353,180,-0.122,0.2081,424.6315729,0.0098,0.0035,1849,-5.00E-04,0.0446,1022878,2.00E-04,-9.00E-04,1470,-0.002,0.1395,-0.0221,0.0309
201912,33131,"miami, fl",*,499050,0.002,,1244,-0.0103,,170,0,,128,0,-0.1111,4,0,-0.75,108,-0.1563,-0.2059,81,0.0385,-0.0581,475.2342704,-0.007,-0.0455,1088.5,-0.0149,-0.0229,811395,-8.00E-04,-0.0382,1325,-0.0075,0.0651,0.0031,0.0079
201912,33180,"miami, fl",*,440000,0.0231,,1104,0.0091,-0.0515,126.5,-0.0489,-0.0489,152,-0.05,-0.0256,12,0.5,0.5,144,-0.0769,0.0909,114,-0.0172,0.0962,292.8144685,0.0033,-0.0104,1439.5,-0.0052,0.026,607831,0.0116,0.0092,1218,0.0066,0.1033,-0.0028,0.0139
201912,33009,"hallandale, fl",,287050,-0.0271,0.007,1064,0.0935,-0.0203,106,-0.1167,0,148,-0.0263,-0.0263,12,0.5,0.5,156,0.0541,-0.1333,128,-0.1049,0.0579,241.1895161,-0.0146,0.0184,1126,-0.0209,0.0135,446547,-0.0233,0.0437,1192,0.0681,0.1203,-0.0267,0.0089
201912,33480,"palm beach, fl",*,1650050,0.1037,0.1037,1022,0.0569,,104.5,-0.1836,0.1117,160,0.0811,-0.0476,4,0,,108,0.35,0.2857,63,0.0678,-0.2317,777.7137737,0.0231,0.0029,2104.5,0.0522,0.0226,3967299,0.0783,-0.1058,1085,0.0575,0.0616,6.00E-04,-0.0264
201912,33019,"hollywood, fl",,459395,-0.0227,-0.0626,973,0.0611,0.1057,121,-0.1168,-0.0692,124,-0.1389,-0.0606,8,0,0,108,-0.129,-0.2059,98,0.0889,0.8846,332.5859492,-0.0156,-0.0225,1178,-0.0067,-0.0264,747329,-0.0265,-0.0663,1071,0.0636,0.1007,0.0026,0.0416
201912,33140,"miami beach, fl",,650050,0.0015,0,955,0.0138,0.0084,135.5,-0.059,0.1016,108,-0.0357,-0.1563,4,-0.6667,-0.6667,104,0,-0.1875,64,-0.0725,0.0492,533.6756267,0.0014,-0.0058,1225,0.0141,-0.0354,1928262,-0.0653,-0.0275,1019,0.0079,0.067,-0.0062,0.0026
201912,32137,"palm coast, fl",,382500,0.0091,-0.0872,860,-0.0337,-0.1675,93,-0.051,-0.07,180,-0.1346,0.0976,8,0,-0.75,140,-0.3137,-0.2222,244,-0.0896,0.2139,185.3039825,0.0174,-0.0539,2090,-0.0155,-0.0346,537305,-0.0162,-0.0531,1104,-0.0466,0.2837,-0.0174,0.0891
